Language,Normel mode,Battery saver mode,Performence mode,Average speed(ms)
Python,41000,140876,38394,73423.33
R,19890,19213,37137,25413.33
Swift,12823,36663,12548,20678
Lua,8123,8014,23064,13067
PHP,7825,25103,8040,13656
Ruby,5204,12312,5146,7554
Zig,506,1380,519,801.67
TypeScript,344.57,981.31,355.76,560.55
C#,572,977,553,700.67
JavaScript,344.24,862.13,350.52,518.96
Rust,459,853,475,595.67
Go,301.74,603.5,272.52,392.59
C++,271,722,278,423.67
C,264,695,269,409.33
Dart,249,472,246,322.33
Julia,12.6,13.4,13.2,13.07
Kotlin,5,12,7,8
Java,3,7,1,3.67
